통제번호,키워드1,키워드2,키워드3
1A001.,실; 씰; 밀봉; 가스켓; 밀봉제; 블래더; 실란트; 씰란트; 연료용 블래더; 불소화 포스파젠; 불소화 폴리이미드; bladder; florinated phosphazne; fluorinated polyimide; FPI; fuel bladder; gasket; sealant,불소화; 탄성체; 불소화합물 구성품; elastomer; fluorinated compound; seal,우주; 항공; 발사체; 우주선; 항공기; 항공우주; 우주비행체; 추진시스템; aerospace; aircraft; launch vehicles; propulsion; spacecraft
1A002.,모재; 피치; 프리폼; 복합재료; 라미네이츠; 라미네이트; 복합구조물; 예비성형물; 적층구조물; 프리프레그; 복합재료 구조물; 유기물 모재; 금속 모재; 유기 섬유; 탄소 모재; 금속 복합재; 유기 복합재; 탄소 복합재; 유기 필라멘트; 금속-카본 복합재; 카본-카본 복합재; 금속-카본 적층 구조물; 카본-카본 적층 구조물; =적층구조물; carbon-carbon composites; carbon-carbon laminate; carbon composite; carbon matrix; composite; composite structures; laminate; matrix; metal-carbon composite; metal-carbon laminate; metal composite; metal matrix; organic composite; organic fibers; organic fibre; organic filament; organic matrix; pitch-impregnated; preforms; prepregs; resin-impregnated,프리폼; 무기섬유; 유기섬유; 탄소섬유; 프리프레그; 섬유상 또는 필라멘트 소재; fibrous material; filamentary material; preforms; prepregs,금속; 섬유; 카본; 탄소; 발사체; 우주선; 항공기; 필라멘트; 항공우주; 우주비행체; 추진시스템; 그래파이트 섬유; aerospace; aircraft; carbon; C-C; fibrous; filamentary; launch vehicles; metal; propulsion; spacecraft
1A003.,비가용성; 열경화성; 비열가소성; 폴리이미드; 폴리에테르이미드; 폴리아미드-이미드; FPI; non-fusible; non-thermoplastic; PAI; PEI; PI; polyamide-imide; polyether-imide; polyetherimide; polyimide; thermosetting,판; 기판; 리본; 리본; 필름; 적층된; 테이프; 폴리이미드 제조품; 적층 구조물; coated; film; laminated; ribbon; sheet; tape,
1A004.,개인보호장비; 보호 장비; 탐지 장비; detection equipment; PPE; protective equipment,경찰; 무기; 방어; 방호; 테러; 방사능; 작용제; 화생방; 화학무기; 생물작용제; 수포작용제; 신경작용제; 혈액작용제; 화학작용제; 무능화작용제; agent; CB; CBA; CBRN; defense; HAZMAT; police; terror; terrorism; weapon,사린; 디텍터; BZ; CK; GA; GB; HD; Sarin; VX
1A004.a.,헬멧; 후드; 방독면; 여과통; 정화기; 정화통; 보호두건; 캐니스터; 가스마스크; 국민방독면; 방독마스크; 전면마스크; 전동식 공기 정화 호흡기; 제독 장치; 여과 카트리지; breathing apparatus; canister; decontamination equipment; filter catridge; full face mask; gas mask; helmet; hood; PAPR; Powered Air Purifying Respirators; RCA; respirator; riot; SCBA; self-contained breathing apparatus,최루; 폭동진압 작용제; KSB 6685; NFPA 1991; NFPA 1994,마스크; mask
1A004.b.,보호복; 보호의; 실험복; 차폐복; 내화학복; 화학물질용 보호복; 방사능 보호복; 보호 신발; 보호 장갑; 납 조끼; 납 보호복; hazmat suit; lead garment; lead gloves; lead protective equipment; lead vest; personal protective equipment; protective boots; protective clothing; protective ensemble; protective garment; protective gloves; protective shoes; protective suit; radiation protective clothing; shielding suit,1형식; 1type; 2형식; 2type; EN943; EN943-1; EN943-2,신발; 장갑; glove; shoe
1A004.c.,도시미터; 방사선계측기; 방사능 선량계; 휴대용 탐지기; 탐지 장비; 가스 감지기; 가스 분석기; 가스 탐지기; 탐지 시스템; 가스 감지 장치; 가스 경보 시스템; detection equipment; detection system; dosimeter; gas alarm system; gas analyser; gas detector; portable gas alarm; portable gas detector; X-RAY 측정기; X-ray meter,라디오미터; 스펙트로미터; radiometer; spectrometer,방사능; 방사선; 입도분포측정기; radiation; radioactive
1A004.d.,폭발물 탐지기; 휴대용 폭발물 탐지기; 폭발물 잔존량 탐지 장치; 폭발물 탐지 장비; explosive detection system; explosives detector; explosives residues detector; hand-held explosive detector; mass spectrometer; portable explosive detector; tabletop explosive detector,질량분석기; 전자포획검출기; 핵자기공명분광기; 가스 분석기; 가스 크로마토그래피; 이온 이동도 분광기; 분광 측정 장비; ECD; electron capture method; gas chromatography; GC; IMS; ion mobility spectrometer; mass spectrometer GC-MS; MS; NMR; nuclear magnetic resonance system,폭발; 폭발물; 화학탐지장비; 폭발물흔적탐지기
1A005.,방탄복; 방호복; 폴리에틸렌 플레이트; 아라미드 방탄 조끼; 세라믹 타일; 세라믹 타일; 세라믹 플레이트; 세라믹 플레이트; 실리콘 카바이드 플레이트; 소프트 바디 아머; 방탄 조끼; 방탄 패널; 방탄 패널; 연성 방탄복; 연성 방호복; 방탄 플레이트; 방탄 플레이트; 방탄 플레이트; 경성 방호복용 플레이트; 연성 방탄 조끼; 하드 바디 아머용 플레이트; aramid body armor; ballastic panel; ballastic panel; ballastic PE plate; ballastic plate; ballastic plate; ballastic plate; ballastic SiC plate; ballastic vest; body armour; bulletproof vest; ceramic plate; ceramic plate; ceramic tile; ceramic tile; fabric body armor; hard body armor; hard body armor plate; hard body armour; IIIA; NIJ 0101.06; silicon carbide plate; soft body armor; soft body armor ballastic vest; soft body armor vest; soft body armour,경찰; 방어; 방호; 경찰용; 테러 대응; defense; police; protection; terror; terrorism,아머; armour
1A006.,폭발; 교란장치; 디스럽터; 폭발장치; 급조폭발물; 급조폭발장치; 원격조종장비; 폭발물 제거 로봇; 폭발물 제거 장비; 폭발물 처리 장비; Disruptor; IED; IED disposal robot; IEDs; improvised explosive device; Remotely operated vehicles,,로봇; EOD robot; robot
