구 분,계,20세이하(04_05년생),21세_25세(99_03년생),26세_30세(94_98년생),31세_35세(89_93년생),36세_40세(84년_88년생)
서 울,18793,992,3474,4506,4505,5316
부산·울산,8097,433,1708,2027,2082,1847
대구·경북,10878,578,2137,2732,2795,2636
경 인,11680,803,2736,2981,2638,2522
광주·전남,7397,419,1569,1913,1773,1723
대전·충남,7623,509,1711,1996,1822,1585
강 원,2123,125,438,544,514,502
충 북,3395,211,695,848,853,788
전 북,3858,215,827,991,882,943
경 남,5874,360,1302,1556,1380,1276
제 주,1289,104,325,332,273,255
인 천,10505,626,2348,2775,2455,2301
경기북부,6576,420,1543,1694,1567,1352
강원영동,1046,52,217,271,244,262
