"행정구역","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년04월_남_총인구수","2026년04월_남_연령구간인구수","2026년04월_남_0~9세","2026년04월_남_10~19세","2026년04월_남_20~29세","2026년04월_남_30~39세","2026년04월_남_40~49세","2026년04월_남_50~59세","2026년04월_남_60~69세","2026년04월_남_70~79세","2026년04월_남_80~89세","2026년04월_남_90~99세","2026년04월_남_100세 이상","2026년04월_여_총인구수","2026년04월_여_연령구간인구수","2026년04월_여_0~9세","2026년04월_여_10~19세","2026년04월_여_20~29세","2026년04월_여_30~39세","2026년04월_여_40~49세","2026년04월_여_50~59세","2026년04월_여_60~69세","2026년04월_여_70~79세","2026년04월_여_80~89세","2026년04월_여_90~99세","2026년04월_여_100세 이상"
"전국  (0000000000)","51,097,986","51,097,986","2,910,022","4,622,171","5,591,091","6,686,964","7,520,473","8,616,970","7,973,368","4,646,121","2,139,521","382,260","9,025","25,423,432","25,423,432","1,491,651","2,371,829","2,900,530","3,499,395","3,830,781","4,343,252","3,936,144","2,148,266","806,638","93,445","1,501","25,674,554","25,674,554","1,418,371","2,250,342","2,690,561","3,187,569","3,689,692","4,273,718","4,037,224","2,497,855","1,332,883","288,815","7,524"
"서울특별시  (1100000000)","9,298,673","9,298,673","455,648","719,027","1,239,522","1,467,418","1,357,334","1,464,286","1,318,622","845,655","371,689","58,015","1,457","4,477,462","4,477,462","234,006","366,300","578,643","732,780","670,811","719,694","625,746","380,725","151,718","16,725","314","4,821,211","4,821,211","221,642","352,727","660,879","734,638","686,523","744,592","692,876","464,930","219,971","41,290","1,143"
"부산광역시  (2600000000)","3,235,361","3,235,361","166,618","266,138","332,238","388,058","456,410","525,494","551,990","373,190","152,894","21,856","475","1,571,952","1,571,952","85,319","136,023","169,276","200,690","231,192","258,125","259,333","167,339","59,275","5,322","58","1,663,409","1,663,409","81,299","130,115","162,962","187,368","225,218","267,369","292,657","205,851","93,619","16,534","417"
"대구광역시  (2700000000)","2,349,360","2,349,360","131,987","212,646","248,823","285,394","332,593","409,460","381,795","228,635","101,182","16,543","302","1,150,292","1,150,292","67,793","108,867","130,473","151,985","166,326","199,640","182,393","101,311","37,310","4,149","45","1,199,068","1,199,068","64,194","103,779","118,350","133,409","166,267","209,820","199,402","127,324","63,872","12,394","257"
"인천광역시  (2800000000)","3,057,226","3,057,226","187,255","276,020","332,664","432,537","472,438","514,812","477,895","241,702","102,375","18,965","563","1,526,524","1,526,524","96,148","141,266","171,415","225,974","243,714","257,524","235,215","112,572","38,240","4,364","92","1,530,702","1,530,702","91,107","134,754","161,249","206,563","228,724","257,288","242,680","129,130","64,135","14,601","471"
"광주광역시  (2900000000)","1,386,567","1,386,567","84,211","143,130","166,820","173,547","210,330","240,115","195,915","112,022","51,635","8,647","195","683,873","683,873","42,907","73,686","87,101","90,420","105,020","119,051","93,845","49,864","19,833","2,120","26","702,694","702,694","41,304","69,444","79,719","83,127","105,310","121,064","102,070","62,158","31,802","6,527","169"
"대전광역시  (3000000000)","1,441,687","1,441,687","85,548","136,091","185,839","196,022","207,001","242,204","209,204","118,820","51,604","9,149","205","718,049","718,049","44,027","69,651","96,890","104,472","103,948","120,730","101,550","54,593","19,857","2,299","32","723,638","723,638","41,521","66,440","88,949","91,550","103,053","121,474","107,654","64,227","31,747","6,850","173"
"울산광역시  (3100000000)","1,088,041","1,088,041","65,742","108,829","107,742","136,803","167,342","196,401","181,342","88,946","30,169","4,624","101","561,115","561,115","33,662","56,653","62,289","75,995","87,130","98,195","91,790","42,866","11,518","1,006","11","526,926","526,926","32,080","52,176","45,453","60,808","80,212","98,206","89,552","46,080","18,651","3,618","90"
"세종특별자치시  (3600000000)","391,024","391,024","37,636","54,046","36,284","57,159","75,691","59,961","39,716","20,309","8,324","1,864","34","194,741","194,741","19,103","27,407","18,703","28,321","37,013","31,108","19,714","9,765","3,179","423","5","196,283","196,283","18,533","26,639","17,581","28,838","38,678","28,853","20,002","10,544","5,145","1,441","29"
"경기도  (4100000000)","13,751,098","13,751,098","877,674","1,325,139","1,534,525","1,932,298","2,169,232","2,360,316","1,989,893","1,019,142","458,470","82,307","2,102","6,903,574","6,903,574","449,424","676,995","801,434","1,013,786","1,107,987","1,186,352","993,087","475,905","176,965","21,225","414","6,847,524","6,847,524","428,250","648,144","733,091","918,512","1,061,245","1,173,964","996,806","543,237","281,505","61,082","1,688"
